country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,California; Siskiyou County,Lava Beds National Monument; Medicine Lake Highlands,Crystal Cave,Crystal Ice Cave; Blue Crystal Ice Cave,,,,1524,540,30,1,basalt,lava tunnel,permanent ice,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=565; Kern and Thomas (2014) https://doi.org:10.4461/GFDQ.2014.37.14,,
United States of America,Hawaii,Maui,Crystal Cave,,,,,183,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=891; Olson and James (1991) DOI:10.2307/40166794,,
United States of America,California; San Bernardino,Pisgah,CS,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=322,,
United States of America,Hawaii; Ka'u District,Hawaii Island,CSH Site 17 Cave,,,,,,200,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=837,,
United States of America,Hawaii; Ka'u District,Hawaii Island,CSH Site 96 Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=838,,
United States of America,California; San Bernardino,Pisgah,CT,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=323,,
Ecuador,Galapagos,Floreana Island,Cueva de la Bahia d C/I,,,,,,202,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=704,,
Spain,Santa Cruz de Tenerife,Tenerife,Cueva Buzanada,,,,,,100,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1482,,
Spain,Santa Cruz de Tenerife,Tenerife,Cueva Cabeza de Perro,,,,,,68,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1483,,
Spain,Santa Cruz de Tenerife,Tenerife,Cueva de Amara Pango,,,,,,150,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1484,,
Ecuador,Galapagos,Santa Cruz Island,Cueva de Andres,,,,,,205,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=720; http://www.vulcanospeleology.org/sym06/ISV6x33.pdf,,
Spain,Santa Cruz de Tenerife,Tenerife,Cueva de Arafa,,,,,,110,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1485,,
Spain,Santa Cruz de Tenerife,Tenerife,Cueva de Benisahare,,,,,,327,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1486,,
Spain,Santa Cruz de Tenerife,Tenerife,Cueva de Bicho,,,,,,8,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1487,,
Mexico,San Luis Potos,,Cueva de Caada de los Pastores,Caada de los Pastores,,,,,1882,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1458,,
Spain,Santa Cruz de Tenerife,Tenerife,Cueva de Candelania,,,,,,125,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1488,,
Spain,Santa Cruz de Tenerife,Tenerife,Cueva de Chiguergue,,,,,,1000,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1489,,
Mexico,Morelos,,Cueva de Chimalacatepec,,,,,,1388,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1151,,
