cave-name-ascii,min-altitude,max-altitude,length-nr,vertical-extent-nr,number-of-entrances-nr,record-id
Ant Farm,,,,,,US-6ead4688d2bd1a9959f6d78d17d2cb3f
Anthurium Sink Cave,,,183,,,US-5c889d3d0c6ddf10f5d2d9f5008965ef
Aokigahara Fuketsu No. 1,,,61,,,JP-e69b48740f3ad77ef5400762da1fbfd4
Aokigahara Fuketsu No. 2,,,142,,,JP-eb8c52130c7c112a2e74a1f9bf5a3d9e
Ape Cave,,,3983,210,2,US-50f7b2ff9f755d97d2fa869dc2e1e569
Apple Cave,,,61,,,US-NSS-633-24
Apua Cave,,,1340,32,,US-2d41ccdbccc71eb982a4f71e84030912
Arch,,,11,,,AU-ASF-U22
Arch Cave,,,100,,,US-769ff7404a55f6dacb2ecf2821ee73e7
Arch Cave,991,991,30,,,US-2d527f84cc745d909ca8970ac612f484
Arch Sunk Cave,,,46,,,US-d2f25390636b869ea6031c427952d78a
Archies Cave,,,348,,,US-ae907d62d421299357d05209d8c89edc
Arco Tunnel,,,1316,,,US-df85cad59a4081d4f6b5738761c74529
Arnarker,,,470,,,IS-874ae4e2e41445d05e301b121dd2b088
Arnold Ice Cave,1381,1381,49,,,US-b9513e9db4a84c47e0d0057c42022592
Arrowhead Cave,,,36,,,US-d405227171f7bb16868ef6e408c7988d
Ash Crawl Cave,,,117,,,US-d0be8ec3e03f6e0be2e05c63b9eeb6f2
Charcoal Cave,,,,,,US-b4e0a29cc93179d87a1dd35af77a12db
Calabash Cave,,,,,,US-e04949c9df7e6128715bf065c1444cc7
Ash Creek Cave,,,122,,,US-c75dae8ccae87a9fdd43b459d1bfa048
Ash Hole Cave,,,18,,,US-NSS-633-11
Asher's Cave,,,213,,,US-23f036857adcf4bde58818f586ce2366
Prince Charming Cave,,,213,,,US-714510098e06cfbebc625aa0a060a5b1
Atkinson Cave,,,101,,,AU-ASF-4U-20
Atsuhara Fuketsu Cave,,,89,,,JP-a045941a80d482131a3ebaae6f5346e1
Auwahi Cave,1463,1463,,,,US-c6ce02d676bc788c580f14c15271ce2c
Aviator Cave,,,365,,,US-1ffcc5406e429b2b4aa7d42d65623a0f
Obrennisholahellir,,,411,,,IS-1655b931921852b116a3f38de83c3347
B,,,166,6,,US-9abd6520cd630f30e61004c8dc7d031e
Back Flip Cave,,,36,,,US-8e18a1dddbc3a036ae99a34cb396a9c8
Backbone Cave,,,,,,US-fd3ef4c671ed49793e7349a8f3a3e658
Backbone Cave,,,518,,,US-94b22bd36f63f56a7fdb91bd1c5a9e4b
Baker Cave,,,1496,,,US-23445d01ef2242da1053dd29e49593e8
Balcony Cave,,,213,,,US-0e075d1d9f25276c3aeec626350d6504
Balcony Chamber Cave,,,,,,US-1242cd018bf504f22892b78d3f88f3c7
Banba Ana,675,675,621,,,JP-b02e7935ece9df0adcd348d476138cd6
Bandera Crater Tube,,,28600,,,US-8704a3d70946b0dfecce0b04a629db1b
Barbed Wire Cave,,,30,,,US-a3d2e598c4e1ceeee73d29c8f68de2f3
Barkers Cave,,,905,,,AU-ASF-4U-34
Barkers Crater Caves,,,250,,,AU-8386ac76afa2fa8dd2aec369cb12a962
Barlow Cave,,,243,,,US-67587fc115b3b7ab6f764563c31934df
Barn Swallow Cave,,,152,,,US-93b3100272526fc520d15effe91f95f6
Barney's Cave,509,509,57,,,US-75654ebe67c9f7db775baa0e7bbc21c4
Barnum Cave,,,245,,,US-d9744d62652da713de2398bc2cc01f53
Barricade Shelter Cave,,,20,,,US-1a70b77a228607230841b8077246face
Basalt Cave,,,240,,,US-a8c39e5007ba501d4d14b0eed000e397
Bat Cave,351,351,805,,,US-27313f62381a756c1b6c0e246575e302
Bat Cave,,,270,,,US-12402e627a5e6a05d800dd362696cd55
Bat Cave,,,,,,US-eed172c18b386a3c6b41c0bec5087002
Bat Cave,,,166,,,US-1a20b54a19e3b5d6ca5c4714384b1cf5
Bat Cave,,,,,,US-4edba8edd3ee98d0ce8eeb17ca30e029
Bat Cave,,,518,,,US-39cbcd4f39738bd07f53a1eb76804d50
Bat Caves,,,3800,,,US-6ed5ed4fd6a7161660eedc2a0a8afe2d
Bat Crack,,,274,,,US-c377cced535a2ff8b9a1f3575dba28ef
Bathtub,,,20,,2,AU-ASF-3H-20
Battered Sherman,,,16,,,US-97bea6808a5c246e7d21b417d19048a8
Bayliss Cave,,,1350,,,AU-ASF-4U-30
Beaconlight Cave,,,127,,,US-87e6ad28c34885a2927a537e5471a241
Bear Tooth Cave,,,276,,,US-62777402009c984d5e25203a0725fe7a
Bear Trap Lava Tube,,,,,,US-ce532f2f5d3c630242230cd4a015c2da
Bearpaw Cave,,,,,,US-298d06c87c39d304b66bd599eeaf8b04
Beaver Bay Cave,,,194,,,US-089ae85a44d4fdaf409b3d3db4ca8b68
Beaver Cave,475,475,575,,,US-efb3fae07ac562ff3937b4c930722fcc
Beer Bottle Cave,,,1239,,,US-ac371cdb1acf774419d8a4f0694d3f8b
Belly Cave,,,,,,US-b3e2a85e2d4024fc0d8114343dd8cdb2
Ben's Cave,,,,,,US-4bce362455c2ea976f428b561a4588b3
Benjamin Lake Cave,,,,,,US-07e6a97faadbb9daff8323691c085ad5
Bertha's Cupboard Cave,,,550,,,US-de2013e5374ad4b76ee649039ec53c4b
Big Black Cave,,,500,,,US-4ffe689caa338ba22395473fcf303be3
Big Block,,,31,,,US-0668908280839e0877d567b787761260
Big Cave,,,1030,,,US-b1a74028107d2d6ad1749402e11165c0
Big Cave,,,823,,,US-78c9b8d01e1ad8f2c5af77688bf0993c
Big Deal Cave,,,31,,,US-b0c314cd57a839f753e0cd8b8f1d247e
Big Red Cave,,,3606,232,,US-daa5d969b70252929b780b9bbac536de
Big Room cave,,,37,,,US-3be74256f7af0b17e883fe191151dda3
Big Skylight Cave,,,290,,,US-217db1381de5c2a251e38865491d2713
Giant Ice Cave,,,,,,US-68f0649447705a70188a6ece04f93d5e
Big Trench Cave System,,,1219,,,US-473f3e89d1e107ed154394406a5700d5
Big Wet Cave,,,137,,,US-a72f18b2089fa4cd9f5a064a46444efa
Billemot Gul,70,70,11749,,,KR-463e0a785e3796c84af0b8b2e3fe0bad
Bill Rowland's Cave,,,6,,,US-5f41966e592cdc287bd97782dd3c625c
Bill's Cave,,,31,,,US-NSS-633-03
Birdnest Cave,,,,,,US-e6a0d00f4d1df60d6034eb0a3a999b98
Bishop's Cave,,,,,,US-a51408472e3a41df7b4f857f972aacd9
Black Braes,,,300,,,AU-e267c2683092beeb85eaab4680fbbb1c
Black Pellet Cave,,,2378,,,US-b9ea902008341657ea70ba5e7136bcd8
Blair Cave,,,1110,,,US-6f45471630395ef02837a15666231e87
Blami Cave,,,913,,,IS-6bfded6bbc5b2d7cefaf054f3ad9b538
Blind Eye Spider Cave,,,133,,,US-59df6910ecd5d28a14b383f4bfc2817d
Blindgtuhellir,,,45,,,IS-0e061b8dede4d4fd4c659f73b80bda80
Blood Cave,,,3,,,AU-ASF-3H-H32
Blue Grotto,,,470,,,US-65922ad010454ef0b24b18b676f457fb
Blue Ribbon Cave,597,597,152,,,US-2278127b5c0e3a022b0a45bc433c9e81
Boa Holes Cave,,,8,,,US-5d863a28d1ad5b594cbbbe1728ef2dc4
Bobcat Cave,,,1566,,,US-fb990a43fbc354ee6d0ac95ff646e3ed
Bogoslof Cave,,,,,,US-1523f43d4fd0e3a62e90e2f823bb3af3
Bogoslof Dome Cave,,,,,,US-254eb4fd3e432efc577fbc883586790b
Bogus Creek Cave,,,206,,,US-e4d125259fc0bcba7ea9a27c4353c5b4
Bombed Cave,,,,,,US-ee8d5a30e44aac3c7ae66218bf547f9e
Bone Cave,,,152,,,US-52d6c9c196725c4bccb9c98ca7dae0f4
Bonito Flow Ice Cave,,,69,,,US-7dfccd1554846a8ce07a9f9f867da8a2
Borgarhellir,,,670,,,IS-860c1624d296eaa25af74e888773c825
Boulevard Caves,,,,,,US-5d1667c9ca5c6a1b65f556d71d227487
Boulevard Cave,,,140,,,US-B200
East Boulevard Cave,,,64,,,US-B210
Boulevard Bridge,,,12,,,US-B190
Pango Ndogo Cave,,,139,,,US-B140
Bowers Cave,,,,,,US-ec0727d3b55f23692f11745bfbe45346
Bowers Cave,,,289,,,US-481d3a1277532508cc874e992228f11e
Boy Scout Cave,,,20,,,US-fb672da215b7a63a8da8805a22311591
Boyd Cave,,,600,,,US-1a5bbcf09cfde766034767d8046775f0
