country-name,state-or-province,phys-area-name,principal-cave-name,other-cave-name,cave-id,latitude,longitude,altitude,length,vertical-extent,number-of-entrances,map-link,rock-type,cave-type,contents,comments,cave-system,branch-name,reference,cave-use,curation
United States of America,Oregon,,Edison Ice Cave,,NSS-611-1,,,,,,,,,lava tunnel,,small ice deposits,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1289,,
United States of America,Hawaii; Puna district,Hawaii Island; Kilauea,Eldon English Cave,,,,,,204,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=743,,
United States of America,Hawaii; Puna district,Hawaii Island; Kilauea,Eldon English Mauka Cave,,,,,,170,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=800; Allred and Allred (1998) https://caves.org/pub/journal/PDF/V60/V60N3-Allred.pdf,,
United States of America,California; Siskiyou County,Medicine Lake Highlands,Elmer's Bridge,,,,,,52,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=483,,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Lava Beds National Monument,Elmer's Lower Bridge,,E450,,,,68,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=484; https://www.cave-research.org/annual_reports/crf_ar_2014-15.pdf,,
United States of America,California; Siskiyou County,Medicine Lake Highlands; Lava Beds National Monument,Elmer's Upper Bridge,,E440,,,,105,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=485; https://www.cave-research.org/annual_reports/crf_ar_2014-15.pdf,,
United States of America,Hawaii; Puna district,Hawaii Island; Kilauea,Epperson's Cave,Lower Epperson's Cave,,,,,,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=742; Northup et al. (2011) https://doi.org/10.1089/ast.2010.0562; Allred and Allred (1998) https://doi.org/10.5038/1827-806X.27.1.14; Allred and Allred (1998) https://caves.org/pub/journal/PDF/V60/V60N3-Allred.pdf,,
Australia,Queensland,Undara,Eptesicus,,ASF-U39,,,,42,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1376; Atkinson (2010) http://www.vulcanospeleology.org/sym14/papers/Atkinson.pdf,,
United States of America,Idaho; Elmore County,,Eureka Cave,,,,,,150,,,,,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1042,,
Australia,Queensland,Undara,Ewamin,Arch 3,ASF-U23,,,,~162,,,,basalt,lava tunnel,,,,,https://rpif.asu.edu/LTdatabase/result.php?RECNO=1377; Atkinson (2010) http://www.vulcanospeleology.org/sym14/papers/Atkinson.pdf,,
